input,,,,,,,,,,output,
Growth Condition,VCD,Viability,"Glucose
consumed",Lactate,Ammonia,DO,pH,IgG,,IgG,VCD
B1_5,26.9,96.05,4.098,0.041,8.373,48,7.09,0.499,,0.519,10.8
B1_5,10.8,49.25,3.082,0.049,13.81,51,7.06,0.519,,0.545,6.28
B1_5,6.28,31.38,5.614,0.074,14.635,47,7.14,0.545,,0.542,4.21
B2_1,7.47,99.61,3.73306,1.73307,4.674,72,6.92,0.061,,0.181,11.033
B2_1,11.033,99.49,2.55416,1.40087,3.406,59,6.92,0.181,,0.36,19.7
B2_1,19.7,99.67,2.32391,0.11124,3.085,49,7,0.36,,0.59,28.8
B2_1,28.8,99.16,2.09365,0.06624,6.89,50,6.96,0.59,,0.737,20.9
B2_1,20.9,97.62,2.4549,0.80806,9.253,56,6.65,0.737,,0.69,2.64
B2_2,8.99,99.36,6.6,3.378,2.921,64,7.06,0.091,,0.211,12.9
B2_2,12.9,98.15,2.703,2.35,2.082,57,7.03,0.211,,0.403,19.1
B2_2,19.1,97.49,1.587,0.392,1.819,49,7.07,0.403,,0.609,29.4
B2_2,29.4,97.68,3.605,0.078,4.401,53,7.01,0.609,,0.781,23.4
B2_2,23.4,95.67,3.174,0.131,5.05,53,7,0.781,,0.882,22.7
B2_3,9.13,99.57,5.329,2.32,3.613,68,6.98,0.076,,0.195,14
B2_3,14,98.49,3.025,1.536,2.548,55,7.02,0.195,,0.392,22
B2_3,22,98.49,2.13,0.221,2.509,50,7.04,0.392,,0.592,28.3
B2_3,28.3,96.44,3.205,0.079,4.375,50,6.99,0.592,,0.738,24
B2_3,24,90.09,5.965,0.054,5.743,73,6.96,0.738,,0.651,0.0344
B2_4,8.31,99.67,6.219,3.424,5.875,35,6.74,0.082,,0.235,14.2
B2_4,14.2,99.33,2.88,4.16,1.485,55,7.01,0.235,,0.402,16.9
B2_4,16.9,98.08,5.073,1.968,1.202,38,7.07,0.402,,0.59,24.9
B2_4,24.9,96.82,2.857,0.307,2.499,52,6.99,0.59,,0.657,0.287
B2_4,0.287,1.94,5.783,0.044,5.599,0,7.24,0.657,,0.583,0.209
B2_5,9.56,99.72,6.059,2.536,5.522,36,6.77,0.092,,0.259,16.7
B2_5,16.7,99.22,2.627,2.496,1.632,49,6.99,0.259,,0.457,23.5
B2_5,23.5,99,4.098,0.506,1.972,52,7.03,0.457,,0.672,29.2
B2_5,29.2,97.49,3.082,0.08,3.219,51,6.96,0.672,,0.798,0.56
B2_5,0.56,4.93,5.614,0.04,5.583,0,7.33,0.798,,0.677,0.223
